id,name,lines,is_transfer,transfer_lines,x,y,wheelchair_accessible,has_shelter,has_bench,has_ticket_machine,has_display,image_url
1,Turing Terminal,A,false,,20.15,25.85,true,true,true,false,true,
2,Ada Exchange,A;B,true,A;B,39.37,24.84,true,true,true,true,true,
3,Pixel Park,A,false,,57.21,26.66,true,false,true,false,true,
4,Byte Square,A;C,true,A;C,73.79,25.65,true,true,true,true,true,
5,Stack Garden,A,false,,92.9,30.53,false,true,true,false,false,
6,Hopper Hall,B,false,,30.44,6.01,true,true,false,true,true,
7,Compiler Court,B,false,,44.13,39.73,true,false,true,false,true,
8,Kernel Hub,B;C,true,B;C,50.67,56.59,true,true,true,true,true,
9,Syntax Square,B,false,,51.92,72.59,false,true,true,false,true,
10,Lambda Lane,B,false,,58.63,86.35,true,false,true,false,false,
11,Campus Gate,B,false,,65.03,106.23,true,true,true,true,true,
12,Edison East,C,false,,2.11,88.9,false,true,false,false,false,
13,Notebook Quay,C,false,,26.37,74.6,true,false,true,false,true,
14,Library Loop,C,false,,58.21,45.25,true,true,true,false,true,
15,Quantum Commons,C,false,,91.29,15.86,true,true,true,true,false,
